Time, Application, ProcessID, SwapChainAddress, Runtime, SyncInterval, Flags, ms/frame, fps, displayed fps,  CPU FrameTime(ms), Latency(ms), PresentMode, Plane, DWM notified, batched, LastUpdateTicks, IsStale
11/28/2018 23:10:21.548, 3DMarkICFWorkload.exe, [8284],	000000000880A0D0, DXGI, 0, 0, 9.00, 111.1, 111.1, 8.97,0.56, Hardware: Legacy Flip,,,batched,0, [NOT STALE] 
11/28/2018 23:10:21.653, 3DMarkICFWorkload.exe, [8284],	000000000880A0D0, DXGI, 0, 0, 9.00, 111.1, 111.1, 8.97,0.56, Hardware: Legacy Flip,,,batched,109, [NOT STALE] 
11/28/2018 23:10:21.759, 3DMarkICFWorkload.exe, [8284],	000000000880A0D0, DXGI, 0, 0, 9.00, 111.1, 111.1, 8.97,0.56, Hardware: Legacy Flip,,,batched,203, [NOT STALE] 
11/28/2018 23:10:21.865, 3DMarkICFWorkload.exe, [8284],	000000000880A0D0, DXGI, 0, 0, 9.00, 111.1, 111.1, 8.97,0.56, Hardware: Legacy Flip,,,batched,312, [NOT STALE] 
11/28/2018 23:10:21.971, 3DMarkICFWorkload.exe, [8284],	000000000880A0D0, DXGI, 0, 0, 9.00, 111.1, 111.1, 8.97,0.56, Hardware: Legacy Flip,,,batched,421, [NOT STALE] 
11/28/2018 23:10:22.076, 3DMarkICFWorkload.exe, [8284],	000000000880A0D0, DXGI, 0, 0, 9.00, 111.1, 111.1, 8.97,0.56, Hardware: Legacy Flip,,,batched,531, [NOT STALE] 
11/28/2018 23:10:22.182, 3DMarkICFWorkload.exe, [8284],	000000000880A0D0, DXGI, 0, 0, 9.00, 111.1, 111.1, 8.97,0.56, Hardware: Legacy Flip,,,batched,640, [NOT STALE] 
11/28/2018 23:10:22.288, 3DMarkICFWorkload.exe, [8284],	000000000880A0D0, DXGI, 0, 0, 9.00, 111.1, 111.1, 8.97,0.56, Hardware: Legacy Flip,,,batched,734, [NOT STALE] 
11/28/2018 23:10:22.393, 3DMarkICFWorkload.exe, [8284],	000000000880A0D0, DXGI, 0, 0, 9.00, 111.1, 111.1, 8.97,0.56, Hardware: Legacy Flip,,,batched,843, [NOT STALE] 
11/28/2018 23:10:22.499, 3DMarkICFWorkload.exe, [8284],	000000000880A0D0, DXGI, 0, 0, 9.00, 111.1, 111.1, 8.97,0.74, Hardware: Legacy Flip,,,batched,0, [NOT STALE] 
11/28/2018 23:10:22.605, 3DMarkICFWorkload.exe, [8284],	000000000880A0D0, DXGI, 0, 0, 9.00, 111.1, 111.1, 8.97,0.74, Hardware: Legacy Flip,,,batched,109, [NOT STALE] 
